time	V(vrec)
2.506006429379656e-005	6.213359e+002
2.506496301084487e-005	6.213357e+002
2.507329695845870e-005	6.213354e+002
2.508112043513041e-005	6.213351e+002
2.509283061960669e-005	6.213347e+002
2.510834182760113e-005	6.213342e+002
2.512106208733046e-005	6.213337e+002
2.514470628257613e-005	6.213328e+002
2.519199467306748e-005	6.213312e+002
2.528657145405019e-005	6.213278e+002
2.538744660623168e-005	6.213241e+002
2.548120794029800e-005	6.213207e+002
2.564535590352034e-005	6.213147e+002
2.568639289432592e-005	6.213132e+002
2.576846687593710e-005	6.213102e+002
2.593261483915944e-005	6.213041e+002
2.593730079388798e-005	6.213039e+002
2.594667270334507e-005	6.213035e+002
2.596541652225926e-005	6.213029e+002
2.600290416008762e-005	6.213015e+002
2.604017564485941e-005	6.213000e+002
2.611471861440299e-005	6.212839e+002
2.619464226869604e-005	6.211782e+002
2.619713988289269e-005	6.211062e+002
2.619776428644186e-005	6.210626e+002
2.619901309354019e-005	6.209329e+002
2.620151070773685e-005	6.205856e+002
2.620213511128601e-005	6.204500e+002
2.620369612015892e-005	6.199031e+002
2.620432052370808e-005	6.194352e+002
2.620447662459537e-005	6.192083e+002
2.620478882636996e-005	6.183588e+002
2.620486687681360e-005	6.179037e+002
2.620488638942451e-005	6.172382e+002
2.620492541464633e-005	6.141651e+002
2.620492556708860e-005	6.138133e+002
2.620492560519917e-005	6.135314e+002
2.620492563571675e-005	6.130045e+002
2.620492566623433e-005	5.717914e+002
2.620492567386372e-005	5.614821e+002
2.620494129886372e-005	1.722746e+002
2.620494325198872e-005	1.149164e+002
2.620494520511372e-005	7.239862e+001
2.620494715823872e-005	5.524748e+001
2.620494911136372e-005	3.810085e+001
2.620495106448871e-005	2.096606e+001
2.620495301761371e-005	3.854869e+000
2.620495326175434e-005	1.725492e+000
2.620495332278949e-005	1.198502e+000
2.620495338382465e-005	6.781025e-001
2.620495341434223e-005	4.241329e-001
2.620495344485980e-005	3.504748e-001
2.620496906985980e-005	4.653249e+001
2.620497102298480e-005	4.473348e+001
2.620497492923480e-005	2.763962e+001
2.620497688235980e-005	1.909731e+001
2.620497883548480e-005	1.056591e+001
2.620498078860979e-005	2.055931e+000
2.620498103275042e-005	1.018976e+000
2.620498127689104e-005	6.579265e-001
2.620510627689104e-005	5.083109e+002
2.620510627736788e-005	5.173018e+002
2.620510627832155e-005	3.736254e+002
2.620510627835136e-005	4.235902e+002
2.620510627841096e-005	5.336168e+002
2.620510627853017e-005	5.336132e+002
2.620510627876859e-005	5.336331e+002
2.620510627924542e-005	5.336351e+002
2.620510628019910e-005	5.336356e+002
2.620510628210645e-005	5.336408e+002
2.620510628592114e-005	5.336403e+002
2.620510629355054e-005	5.336399e+002
2.620510630880933e-005	5.336401e+002
2.620510633932691e-005	5.336410e+002
2.620510640036206e-005	5.336427e+002
2.620510652243238e-005	5.336456e+002
2.620510676657300e-005	5.336516e+002
2.620510725485425e-005	5.336635e+002
2.620510823141675e-005	5.336873e+002
2.620511018454175e-005	5.337345e+002
2.620512190329175e-005	5.340106e+002
2.620513752829175e-005	5.343616e+002
2.620516877829175e-005	5.350148e+002
2.620535627829175e-005	5.381054e+002
2.620560627829175e-005	5.410768e+002
2.620610627829175e-005	5.452590e+002
2.620710627829175e-005	5.506414e+002
2.620910627829175e-005	5.568552e+002
2.621310627829175e-005	5.630254e+002
2.622110627829175e-005	5.689108e+002
2.622310627829175e-005	5.696833e+002
2.622710627829175e-005	5.704230e+002
2.623510627829175e-005	5.713258e+002
2.623710627829175e-005	5.714618e+002
2.624110627829175e-005	5.716052e+002
2.624910627829175e-005	5.717928e+002
2.625110627829175e-005	5.718220e+002
2.625510627829175e-005	5.718530e+002
2.626310627829175e-005	5.718918e+002
2.626510627829175e-005	5.718973e+002
2.626910627829175e-005	5.719015e+002
2.627710627829175e-005	5.719016e+002
2.629310627829175e-005	5.718899e+002
2.629710627829175e-005	5.718854e+002
2.630510627829175e-005	5.718744e+002
2.815360129785702e-005	5.688662e+002
3.000209631742229e-005	5.657555e+002
3.185059133698756e-005	5.625422e+002
3.369908635655283e-005	5.592263e+002
3.554758137611810e-005	5.558079e+002
3.739607639568336e-005	5.522869e+002
3.924457141524863e-005	5.486633e+002
4.308384769058036e-005	5.402983e+002
4.317820778336885e-005	5.400730e+002
4.336729493192631e-005	5.395973e+002
4.336949670980927e-005	5.395896e+002
4.337243241365321e-005	5.395598e+002
4.337830382134108e-005	5.394780e+002
4.339004663671684e-005	5.387483e+002
4.341353226746834e-005	5.356205e+002
4.341426619342933e-005	5.353712e+002
4.341573404535129e-005	5.344864e+002
4.341866974919523e-005	5.314979e+002
4.342454115688311e-005	5.214508e+002
4.342600900880508e-005	5.169483e+002
4.342637597178557e-005	5.149755e+002
4.342710989774655e-005	5.095682e+002
4.342729337923680e-005	5.073107e+002
4.342767180981043e-005	5.001194e+002
4.342770191224242e-005	4.979000e+002
4.342770227060471e-005	4.978400e+002
4.342770298732928e-005	4.976870e+002
4.342770442077843e-005	4.972803e+002
4.342770446557371e-005	4.972553e+002
4.342770455516428e-005	4.971884e+002
4.342770457756193e-005	4.971697e+002
4.342770462235721e-005	4.971204e+002
4.342770471194778e-005	4.971086e+002
4.342782971194778e-005	5.871758e+002
4.342795471194779e-005	6.181939e+002
4.342798596194778e-005	6.185573e+002
4.342799377444779e-005	6.186113e+002
4.342813439944779e-005	6.188358e+002
4.342827502444779e-005	6.190304e+002
4.342841564944779e-005	6.191951e+002
4.342855627444778e-005	6.193299e+002
4.342869689944778e-005	6.194348e+002
4.342883752444778e-005	6.195097e+002
4.342897814944778e-005	6.195548e+002
4.342997814944779e-005	6.199471e+002
4.343197814944778e-005	6.204038e+002
4.343597814944779e-005	6.209197e+002
4.344397814944778e-005	6.214053e+002
4.345997814944778e-005	6.216721e+002
4.349197814944779e-005	6.217247e+002
4.355597814944778e-005	6.217233e+002
4.368397814944779e-005	6.217206e+002
4.384168368701346e-005	6.217172e+002
4.926560883939068e-005	6.215894e+002
4.931622595676809e-005	6.215881e+002
4.941746019152292e-005	6.215855e+002
4.941785563775243e-005	6.215854e+002
4.942022831512950e-005	6.215854e+002
4.942339188496559e-005	6.215853e+002
4.942971902463777e-005	6.215851e+002
4.944237330398212e-005	6.215848e+002
4.945495183092301e-005	6.215845e+002
4.946693861499205e-005	6.215842e+002
4.949266274054198e-005	6.215836e+002
4.950769314888584e-005	6.215832e+002
4.952606733815222e-005	6.215827e+002
4.954998957377793e-005	6.215821e+002
4.963176490840491e-005	6.215800e+002
4.968266885084658e-005	6.215786e+002
4.973167719909812e-005	6.215774e+002
4.981544952711961e-005	6.215752e+002
4.997885486423977e-005	6.215709e+002
5.001607979608770e-005	6.215699e+002
5.009052965978355e-005	6.215680e+002
5.023942938717526e-005	6.215641e+002
5.026537162520795e-005	6.215634e+002
5.031725610127333e-005	6.215620e+002
5.033022722028967e-005	6.215616e+002
